Sale_ID,Date,Product,Quantity,Unit_Price_INR,City,Salesperson_ID,Total_Amount_INR
75,2024-06-06,Tablet,1,59411,Bengaluru,107,59411
76,2024-05-07,Mouse,2,23678,Kolkata,118,47356
77,2024-07-27,Keyboard,3,16014,Kolkata,106,48042
78,2024-03-31,Headphones,1,12254,Pune,111,12254
79,2024-07-29,Monitor,4,17985,Delhi,104,71940
80,2024-07-14,Monitor,1,56768,Chennai,108,56768
81,2024-04-12,Monitor,8,23415,Bengaluru,108,187320
82,2024-04-24,Laptop,4,26613,Bengaluru,109,106452
83,2024-02-05,Monitor,5,23512,Pune,117,117560
84,2024-07-23,Mouse,9,22202,Mumbai,104,199818
85,2024-05-13,Mobile,10,17897,Mumbai,104,178970
86,2024-08-10,Tablet,6,29099,Hyderabad,117,174594
87,2024-02-29,Headphones,10,12957,Bengaluru,102,129570
88,2024-08-11,Laptop,9,53355,Hyderabad,107,480195
89,2024-07-05,Headphones,2,44031,Bengaluru,120,88062
90,2024-06-09,Mouse,2,47669,Bengaluru,117,95338
91,2024-06-07,Mouse,7,21876,Chennai,110,153132
92,2024-10-10,Mobile,4,28054,Pune,113,112216
93,2024-03-30,Keyboard,10,20223,Chennai,118,202230
94,2024-01-01,Tablet,5,14274,Chennai,119,71370
95,2024-06-13,Headphones,8,29477,Pune,107,235816
96,2024-09-18,Headphones,3,43678,Mumbai,110,131034
97,2024-09-20,Mouse,10,22466,Mumbai,108,224660
98,2024-06-07,Mobile,4,10156,Mumbai,102,40624
99,2024-05-05,Headphones,10,56188,Kolkata,103,561880
100,2024-08-21,Headphones,10,13242,Pune,113,132420
101,2024-09-10,Headphones,4,10171,Pune,101,40684
102,2024-02-24,Monitor,7,14841,Delhi,117,103887
103,2024-08-25,Laptop,9,16831,Kolkata,104,151479
104,2024-08-21,Mobile,8,44250,Hyderabad,118,354000
105,2024-06-11,Monitor,8,40650,Kolkata,117,325200
106,2024-08-06,Monitor,9,29723,Delhi,116,267507
107,2024-08-18,Tablet,4,55541,Pune,109,222164
108,2024-09-23,Headphones,4,18496,Chennai,103,73984
109,2024-05-26,Mobile,5,22510,Bengaluru,118,112550
110,2024-02-11,Mobile,3,15655,Chennai,105,46965
111,2024-04-19,Laptop,7,27212,Bengaluru,118,190484
112,2024-08-26,Headphones,1,14055,Kolkata,114,14055
113,2024-07-18,Monitor,10,46081,Mumbai,119,460810
114,2024-07-13,Headphones,1,23552,Bengaluru,113,23552
115,2024-08-02,Keyboard,9,52920,Hyderabad,108,476280
116,2024-09-06,Mobile,5,29062,Chennai,101,145310
117,2024-07-18,Tablet,7,47959,Delhi,115,335713
118,2024-03-06,Keyboard,9,2267,Chennai,119,20403
119,2024-10-15,Mouse,1,6001,Pune,114,6001
120,2024-03-10,Monitor,8,12409,Mumbai,109,99272
